,CZ_NAME_STR,date,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,tornado_occurred,time_of_year
0,None,2000-01-02,None,0.0,0.0,73.0,29.36225,33.4085,26.838501,0.03937008,0.0,0.27559054,12.207545,23.4885,27.880194,24.115997,26.6585,20.0885,80.965065,90.48158,67.15038,977.1956,984.67926,972.8157,0,1
1,None,2000-01-03,None,0.0,0.0,3.0,24.491,26.3885,22.7885,0.0,0.0,0.0,9.517114,19.0145,37.20523,17.561,19.5485,15.768499,74.72588,82.03016,66.52794,986.4212,988.42944,984.9163,0,1
2,None,2000-01-04,None,0.0,0.0,71.0,16.728498,24.2285,10.6385,0.0,0.0,0.13779527,13.066837,26.1729,318.01746,4.9609995,18.3785,-1.8715019,60.06628,78.316124,44.035545,987.85956,990.7137,984.34186,0,1
3,None,2000-01-05,None,0.0,0.0,73.0,17.831,28.0085,10.3685,0.09055119,0.0,0.68897635,13.6456995,26.620298,173.1712,9.4085,25.5785,-1.7815018,69.61776,91.11219,55.90059,983.71606,990.3531,978.6799,0,1
4,None,2000-01-06,None,0.0,0.0,3.0,22.987251,29.3585,13.248501,0.0,0.0,0.0,15.122517,29.9758,281.683,14.321,25.7585,3.3485012,69.387764,89.47118,56.0315,986.35736,992.356,979.5604,0,1
5,None,2000-01-07,None,0.0,0.0,3.0,12.355999,24.9485,-2.3215027,0.0,0.0,0.0,11.399924,22.1463,201.85521,4.2409997,20.3585,-7.721504,69.84239,82.44068,56.15726,991.0738,995.3042,981.8445,0,1
6,None,2000-01-08,None,0.0,0.0,2.0,28.199747,38.3585,22.8785,0.0,0.0,0.0,8.87218,16.330101,223.34454,21.472252,26.6585,17.7485,76.19268,86.846245,59.96948,978.257,981.46924,975.9476,0,1
7,None,2000-01-09,None,0.0,0.0,3.0,26.163498,35.5685,14.238501,0.0,0.0,0.0,8.43263,17.2249,152.2864,24.269753,35.4785,12.348501,92.43075,99.643814,83.73069,972.1004,976.10114,964.6258,0,1
8,None,2000-01-10,None,0.0,0.0,71.0,32.422253,36.4685,29.5385,0.01968504,0.015748031,0.11023622,10.924716,22.8174,261.5099,29.343496,35.3885,23.6885,88.78681,99.64367,72.73345,961.51025,964.6299,959.302,0,1
9,None,2000-01-11,None,0.0,0.0,71.0,19.28225,29.7185,12.258501,0.015748031,0.0,0.11023622,15.139053,29.3047,308.38544,8.373499,26.6585,-0.52150345,62.688038,88.532936,47.513763,981.2542,989.7982,965.9906,0,1
10,None,2000-01-12,None,0.0,0.0,73.0,9.95975,13.428501,5.418499,0.3385827,0.0,2.3976374,10.263418,20.580399,56.833145,2.3809993,8.928501,-2.501503,71.21448,83.18991,55.62721,989.71625,991.86017,987.5493,0,1
11,None,2000-01-13,None,0.0,0.0,73.0,9.53975,16.758501,1.7284966,0.047244094,0.0,0.3582677,6.366614,14.093101,304.46368,4.736,8.928501,-1.7815018,80.72923,86.51028,68.28493,1002.1922,1007.75824,992.7237,0,1
12,None,2000-01-14,None,0.0,0.0,3.0,14.6172495,28.8185,-1.4215012,0.0,0.0,0.0,13.251275,25.949202,152.74849,9.164749,21.2585,-4.9314995,79.026955,85.87503,67.23947,998.3867,1007.6112,988.7256,0,1
13,None,2000-01-15,None,0.0,0.0,3.0,24.108503,35.6585,15.3185005,0.0,0.0,0.0,13.005418,24.607,239.29039,19.057251,26.7485,11.988501,81.12684,87.1436,69.22908,984.63525,990.3781,980.51,0,1
14,None,2000-01-16,None,0.0,0.0,3.0,9.08225,16.848501,0.10849953,0.0,0.0,0.0,13.470382,25.949202,18.566137,1.9947497,11.6285,-5.2915,72.61996,79.573425,62.121346,1003.21735,1008.42163,992.3188,0,1
